,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,License_number,Brand,Type_of_Veihcle,Veihcle_Model,Production_Year,Engine_Size,Country,LastTestDT,TokefDT,Importer,RoadDT,Engine Type
19,19,19,19,9671476,10.0,1,ES 300 H____AVV60L,2015,,2,2020,2021,0,2015,2
20,20,20,20,9374471,7.0,1,R54P TOWNׂCOUNTRY,2008,,4,2021,2021,0,2008,1
21,21,21,21,9219972,7.0,1,R6GT,2011,,1,2021,2022,0,2011,1
22,22,22,22,9986571,4.0,1,GSL30L-PRTEKA,2011,,1,2021,2022,1,2011,1
23,23,23,23,9333873,4.0,1,סיינהGSL30L-PRTQKA,2012,,1,2021,2022,1,2012,1
24,24,24,24,9999772,7.0,1,R5GG,2011,,1,2021,2022,0,2011,1
25,25,25,25,9605676,8.0,1,530D__________5P11,2014,,3,2021,2022,0,2014,4
26,26,26,26,9453773,6.0,1,164.823,2012,,1,2021,2022,0,2012,4
27,27,27,27,9637072,4.0,1,קאמריGSV40L-CETGKA,2010,,1,2021,2022,0,2010,1
28,28,28,28,90158501,8.0,1,KTOC,2017,,1,2021,2022,0,2017,2
29,29,29,29,9848776,11.0,1,XC90 CZ71,2009,,6,2021,2022,0,2009,4
30,30,30,30,9528971,8.0,1,FE43,2010,,3,2020,2021,0,2010,1
31,31,31,31,9320579,8.0,1,6A25000K,2016,,3,2021,2022,0,2016,2
32,32,32,32,9922876,10.0,1,ES300H____________,2015,,2,2021,2022,0,2015,2
33,33,33,33,9872272,6.0,1,221.156,2010,,3,2021,2022,0,2010,1
34,34,34,34,9638479,12.0,1,92A,2016,,3,2020,2021,0,2016,2
35,35,35,35,9653474,4.0,1,AVV50L-CEXGBA,2013,,1,2021,2022,0,2013,1
36,36,36,36,9740573,9.0,1,RANGE ROVER S LSAA,2012,,5,2021,2022,0,2012,4
37,37,37,37,90011201,3.0,1,P8T,2016,,1,2021,2022,0,2016,1
38,38,38,38,9219573,8.0,1,XDRIVE35I X6 FG2C,2012,,1,2021,2022,0,2012,1
39,39,39,39,9245778,3.0,1,MUSTANG GT P8F,2015,,1,2020,2021,0,2015,1
40,40,40,40,9420876,6.0,1,E200 212.034,2014,,3,2021,2022,0,2014,1
41,41,41,41,9948076,12.0,1,CAYENNE 92A,2015,,3,2021,2022,0,2015,4
42,42,42,42,9706278,13.0,1,CORVETTE YB2D76,2015,,1,2021,2022,0,2015,1
43,43,43,43,9329775,12.0,1,CAYEME A2A,2013,,3,2021,2022,0,2013,1
44,44,44,44,90011301,6.0,1,C 300_____________,2016,,1,2021,2022,0,2016,1
45,45,45,45,9763872,7.0,1,S4GG,2010,,1,2021,2022,0,2010,1
46,46,46,46,9608672,6.0,1,197.377,2010,,3,2021,2021,0,2010,1
47,47,47,47,9757171,5.0,1,RE4H,2010,,1,2021,2022,0,2010,1
48,48,48,48,92599501,13.0,1,ALEK,2017,,4,2021,2021,1,2017,1
49,49,49,49,90441801,8.0,1,BMW X5,2018,,1,2021,2022,0,2018,2
50,50,50,50,90401601,14.0,1,DODGE CHALLEN CDZB,2018,,4,2021,2022,1,2018,1
51,51,51,51,9984172,7.0,1,JFCG,2012,,1,2021,2022,1,2012,3
52,52,52,52,9240855,15.0,1,OPEL GT 40612,1972,,3,2020,2021,0,1972,1
53,53,53,53,9613776,9.0,1,DSCVERY LAAA,2015,,5,2020,2022,0,2015,4
54,54,54,54,90296701,8.0,1,X5 KTOC,2017,,1,2021,2022,0,2017,2
55,55,55,55,9352755,16.0,1,BA5563,1988,,7,2020,2023,0,1988,1
56,56,56,56,9789372,13.0,1,1ZH69,2010,,1,2021,2022,0,2010,1
57,57,57,57,9399578,12.0,1,CAYENNE GTS A2A,2013,,3,2021,2022,0,2013,1
